mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-169	C	C	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.0946	0.004413401	0.004413401	R-3m	TRUE	-3m
mp-569416	C	C	8	1D or 2D	64	2	8	2	R-3m	-3m	TRUE	0.2328	0.028800844	0.028800844		FALSE	
mp-568286	C	C	16	1D or 2D	128	8	32	2	Cmme	mmm	FALSE	2.0775	0	0	Cmmm	TRUE	mmm
mp-27948	Ge(BiTe2)2	C(AsS2)2	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.8887	-0.191804465	0.003726341	R-3m	TRUE	-3m
mp-30160	Si(CN2)2	C(CN2)2	14	1D or 2D	112	14	56	2	Pn-3m	m-3m	TRUE	4.2444	-0.410709176	0.029339543	Fd-3m	TRUE	m-3m
mp-14790	Ge(Te2As)2	C(S2As)2	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.3595	-0.028313786	0.008447094	R-3m	TRUE	-3m
mp-27532	Si(PbSe2)2	C(SnS2)2	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	1.8204	-0.528710191	0	P2_1/c	FALSE	2/m
mp-560370	Ge(PbS2)2	C(SnS2)2	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	2.1332	-0.474132013	0	P2_1/c	FALSE	2/m
mp-770811	Si2As2O7	C2As2O7	44	1D or 2D	352	44	176	2	P-1	-1	TRUE	4.5533	-2.476694671	0.060859917	P-1	TRUE	-1
mp-3534	Ge2Sb2Te5	C2As2S5	9	1D or 2D	72	5	20	2	P-3m1	-3m	TRUE	0.0889	-0.08927652	0.023015862	P-3m1	TRUE	-3m
mp-626083	Si2H2O5	C2H2O5	18	1D or 2D	144	18	72	2	Cc	m	FALSE	5.2741	-2.607388364	0.045987261	Pc	FALSE	m
mp-626037	Si2H2O5	C2H2O5	18	1D or 2D	144	18	72	2	C2	2	FALSE	5.4403	-2.617975976	0.035399649	P2	FALSE	2
mp-14791	Ge2Te5As2	C2S5As2	9	1D or 2D	72	9	36	2	P-3m1	-3m	TRUE	0.4092	-0.034181933	0.014632804	P-3m1	TRUE	-3m
mp-674984	Si2CuP3	C2TN3	12	1D or 2D	96	12	48	2	Cm	m	FALSE	0.1644	-0.085803471	0.055832213	Pm	FALSE	m
mp-540687	Ge3(BiTe3)2	C3(AsS3)2	11	1D or 2D	88	5	20	2	R3m	3m	FALSE	0.1569	-0.136454798	0.021065984	R3m	FALSE	3m
mp-541312	Ge3(Te3As)2	C3(S3As)2	11	1D or 2D	88	11	44	2	R-3m	-3m	TRUE	0.3446	-0.052033276	0.004452098	R-3m	TRUE	-3m
mp-29218	Ge3Bi2O9	C3As2O9	28	1D or 2D	224	14	56	2	P6_3/m	6/m	TRUE	2.9644	-1.989742845	0.005227894	P-6	FALSE	-6
mp-17708	Ge3Sb2O9	C3As2O9	28	1D or 2D	224	14	56	2	P6_3/m	6/m	TRUE	3.036	-1.996304929	0	P-6	FALSE	-6
mp-558672	Si3Bi2O9	C3As2O9	28	1D or 2D	224	14	56	2	P6_3/m	6/m	TRUE	3.5103	-2.728154139	0.011951399	P-6	FALSE	-6
mp-769028	Si3Sb2O9	C3As2O9	28	1D or 2D	224	14	56	2	P6_3/m	6/m	TRUE	4.1105	-2.73294664	0.010018824	P-6	FALSE	-6
mp-627632	Si4H2O9	C4H2O9	60	1D or 2D	480	30	120	2	C2/c	2/m	TRUE	5.1536	-2.862727837	0.043156214	C2	FALSE	2
mp-627944	Si4H2O9	C4H2O9	60	1D or 2D	480	30	120	2	P1	1	FALSE	5.1713	-2.846109394	0.059774658	P1	FALSE	1
mp-568730	Ge4Te7As2	C4S7As2	13	1D or 2D	104	13	52	2	R-3m	-3m	TRUE	0.4223	-0.054787769	0.007008045	R-3m	TRUE	-3m
mp-680333	Ge4Se9	C4S9	52	1D or 2D	416	26	104	2	Pca2_1	mm2	FALSE	1.2221	-0.241956552	0.007296961	Pc	FALSE	m
mp-28487	Ge5(Te4As)2	C5(S4As)2	15	1D or 2D	120	15	60	2	P-3m1	-3m	TRUE	0.3371	-0.048876259	0.016813879	P-3m1	TRUE	-3m
mp-27342	Ge5F12	C5F12	34	1D or 2D	272	34	136	2	P2_1/c	2/m	FALSE	4.3696	-2.188944771	0	P2_1/c	FALSE	2/m
mp-9548	GeAs	CAs	12	1D or 2D	96	12	48	2	C2/m	2/m	TRUE	0.7289	-0.043226962	0	C2/m	TRUE	2/m
mp-1863	SiAs	CAs	12	1D or 2D	96	12	48	2	C2/m	2/m	TRUE	1.4519	-0.091176624	0	C2/m	TRUE	2/m
mp-17524	GeAs2	CAs2	24	1D or 2D	192	12	48	2	Pbam	mmm	TRUE	0.7097	-0.046146943	0	Pmc2_1	FALSE	mm2
mp-29641	GeSb4Te7	CAs4S7	12	1D or 2D	96	7	28	2	P-3m1	-3m	TRUE	0.27	-0.120080628	0.002856327	P-3m1	TRUE	-3m
mp-29644	GeBi4Te7	CAs4S7	12	1D or 2D	96	7	28	2	P-3m1	-3m	TRUE	0.5721	-0.210071078	0.00288099	P-3m1	TRUE	-3m
mp-29249	GeAsSe	CAsS	24	1D or 2D	192	12	48	2	Pnna	mmm	TRUE	1.4624	-0.176089314	0	P222_1	FALSE	222
mp-29803	SiH	CH	4	1D or 2D	32	4	16	2	P-3m1	-3m	TRUE	2.1634	-0.041581579	0.025029495	P-3m1	TRUE	-3m
mp-2798	SiP	CN	24	1D or 2D	192	12	48	2	Cmc2_1	mm2	FALSE	1.7395	-0.156310133	0	Cm	FALSE	m
mp-9996	SiP2	CN2	24	1D or 2D	192	12	48	2	Pbam	mmm	TRUE	1.4174	-0.12971075	0	Pmc2_1	FALSE	mm2
mp-938	GeTe	CS	2	1D or 2D	16	2	8	2	R3m	3m	FALSE	0.7469	-0.091003238	0	R3m	FALSE	3m
mp-700	GeSe	CS	8	1D or 2D	64	4	16	2	Pnma	mmm	TRUE	0.8988	-0.220734136	0	Pmn2_1	FALSE	mm2
mp-2242	GeS	CS	8	1D or 2D	64	4	16	2	Pnma	mmm	TRUE	1.2376	-0.255356266	0	Pmn2_1	FALSE	mm2
mp-2755	SiTe2	CS2	3	1D or 2D	24	3	12	2	P-3m1	-3m	TRUE	0.0174	0.04332073	0.04332073	P-3m1	TRUE	-3m
mp-540625	GeSe2	CS2	48	1D or 2D	384	24	96	2	P2_1/c	2/m	FALSE	1.4381	-0.270024639	0	P2_1	FALSE	2
mp-572892	GeS2	CS2	48	1D or 2D	384	24	96	2	P2_1/c	2/m	FALSE	2.2648	-0.33393051	0	P2_1	FALSE	2
mp-8645	GeTe7As4	CS7As4	12	1D or 2D	96	7	28	2	P-3m1	-3m	TRUE	0.4338	-0.015503866	0.012216622	P-3m1	TRUE	-3m
mp-624190	GePbS3	CSnS3	20	1D or 2D	160	20	80	2	P2_1/c	2/m	FALSE	1.8864	-0.435659555	0	P2_1/c	FALSE	2/m
mp-16053	SiCuO3	CTO3	10	1D or 2D	80	10	40	2	Pmma	mmm	TRUE	0.375	-2.253752885	0.098477553	Pmma	TRUE	mmm
mp-23261	I2O5	F2O5	28	1D or 2D	224	14	56	2	P2_1/c	2/m	FALSE	2.7607	-0.771590873	0	P2_1	FALSE	2
mp-23315	IO3	FO3	16	1D or 2D	128	16	64	2	P-1	-1	TRUE	1.8978	-0.625903877	0.049238138	P-1	TRUE	-1
mp-32543	H2WO4	H2TO4	28	1D or 2D	224	14	56	2	Pnma	mmm	TRUE	1.4492	-1.800724251	0.043474239	Pmn2_1	FALSE	mm2
mp-753380	La(BiO2)2	La(AsO2)2	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.0394	-2.287172438	0.09941806	R-3m	TRUE	-3m
mp-30022	Eu(AlCl4)2	La(BF4)2	22	1D or 2D	176	22	88	2	P2/c	2/m	TRUE	1.6803	-2.215807226	0	P2/c	TRUE	2/m
mp-567763	Pr(C2N3)3	La(C2N3)3	32	1D or 2D	256	16	64	2	Cmcm	mmm	TRUE	3.5795	-0.204908322	0	Amm2	FALSE	mm2
mp-31321	La(C2N3)3	La(C2N3)3	32	1D or 2D	256	16	64	2	Cmcm	mmm	TRUE	3.5943	-0.223951445	0	Amm2	FALSE	mm2
mp-31320	Nd(C2N3)3	La(C2N3)3	32	1D or 2D	256	16	64	2	Cmcm	mmm	TRUE	3.5983	-0.205873356	0	Amm2	FALSE	mm2
mp-754355	Tm(HO)3	La(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	4.1716	-2.304967399	0.056034403	P2_1/c	FALSE	2/m
mp-768658	La(HO)3	La(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	4.4203	-2.228864367	0.085011328	P2_1/c	FALSE	2/m
mp-772193	La(HO)3	La(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.5272	-2.249608874	0.06426682	P-1	TRUE	-1
mp-756273	Lu(HO)3	La(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	4.6192	-2.317752493	0.058630256	P2_1/c	FALSE	2/m
mp-780425	Tm(HO)3	La(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.6875	-2.330520024	0.030481778	P-1	TRUE	-1
mp-781622	Lu(HO)3	La(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.7446	-2.341545971	0.034836778	P-1	TRUE	-1
mp-754632	Pr(ReO4)2	La(TO4)2	11	1D or 2D	88	11	44	2	P1	1	FALSE	0	-2.526041539	0	P3	FALSE	3
mp-755194	Er(ReO4)2	La(TO4)2	11	1D or 2D	88	11	44	2	P1	1	FALSE	0	-2.565429673	0.016577556	P1	FALSE	1
mp-754760	Eu(ReO4)2	La(TO4)2	11	1D or 2D	88	11	44	2	P1	1	FALSE	0.3016	-2.531124929	0	P1	FALSE	1
mp-753975	Dy2(BiO2)7	La2(AsO2)7	23	1D or 2D	184	23	92	2	Cm	m	FALSE	0	-2.087996162	0.069847177	Cm	FALSE	m
mp-753524	La2(BiO2)7	La2(AsO2)7	23	1D or 2D	184	23	92	2	P1	1	FALSE	0.0178	-2.047513322	0.085706827	P1	FALSE	1
mp-864790	Nd2BC	La2BC	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	0	-0.301544783	0	C2/m	TRUE	2/m
mp-864888	Dy2Mg	La2Be	6	1D or 2D	48	6	24	2	Cmcm	mmm	TRUE	0	-0.062698122	0	Pmmn	TRUE	mmm
mp-865078	Gd2Mg	La2Be	6	1D or 2D	48	6	24	2	Cmcm	mmm	TRUE	0	-0.040897078	0.033478828	Pmmn	TRUE	mmm
mp-692	Tb2C	La2C	3	1D or 2D	24	3	12	2	R-3m	-3m	TRUE	0	-0.259393847	0	R-3m	TRUE	-3m
mp-1640	Ho2C	La2C	3	1D or 2D	24	3	12	2	R-3m	-3m	TRUE	0	-0.301700026	0	R-3m	TRUE	-3m
mp-12574	Dy2C	La2C	3	1D or 2D	24	3	12	2	R-3m	-3m	TRUE	0	-0.28311602	0	R-3m	TRUE	-3m
mp-559088	La2Si(IO2)2	La2C(FO2)2	36	1D or 2D	288	36	144	2	P-1	-1	TRUE	2.9986	-3.106263799	0.026464046	P-1	TRUE	-1
mp-570597	La2GeI2	La2CF2	5	1D or 2D	40	5	20	2	P-3m1	-3m	TRUE	0.3644	-1.301134949	0	P-3m1	TRUE	-3m
mp-637213	La2GeI2	La2CF2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.4019	-1.297804827	0.003330122	R-3m	TRUE	-3m
mp-29394	Gd2CCl2	La2CF2	5	1D or 2D	40	5	20	2	P-3m1	-3m	TRUE	0.5391	-1.700623787	0	P-3m1	TRUE	-3m
mp-573376	Lu2CCl2	La2CF2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	1.0344	-1.808485827	0	R-3m	TRUE	-3m
mp-618813	Gd2Br3	La2F3	10	1D or 2D	80	10	40	2	Cm	m	FALSE	0.0006	-1.51213155	0.024738505	Cm	FALSE	m
mp-22854	Pr2I5	La2F5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	0.2051	-1.416156608	0	P2_1/m	FALSE	2/m
mp-30282	La2I5	La2F5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	0.2451	-1.513048873	0	P2_1/m	FALSE	2/m
mp-28571	La2Br5	La2F5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	0.3429	-1.959566334	0	P2_1/m	FALSE	2/m
mp-23169	Pr2Br5	La2F5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	0.3666	-1.856542375	0	P2_1/m	FALSE	2/m
mp-850292	Dy2H16S3O20	La2H16S3O20	82	1D or 2D	656	82	328	2	C2/c	2/m	TRUE	5.1994	-1.902417058	0	P2/c	TRUE	2/m
mp-542222	Tb2H16S3O20	La2H16S3O20	82	1D or 2D	656	82	328	2	C2/c	2/m	TRUE	5.3734	-1.915047381	0	P2/c	TRUE	2/m
mp-766250	Er2H16S3O20	La2H16S3O20	82	1D or 2D	656	82	328	2	C2/c	2/m	TRUE	5.4121	-1.911831408	0.017123687	P2/c	TRUE	2/m
mp-24445	Nd2H16S3O20	La2H16S3O20	82	1D or 2D	656	82	328	2	C2/c	2/m	TRUE	5.4556	-1.905760944	0.002481492	P2/c	TRUE	2/m
mp-571647	La2PI2	La2NF2	5	1D or 2D	40	5	20	2	P-3m1	-3m	TRUE	0	-1.614352962	0	P-3m1	TRUE	-3m
mp-570988	La2PBr2	La2NF2	5	1D or 2D	40	5	20	2	P-3m1	-3m	TRUE	0	-1.856963456	0	P-3m1	TRUE	-3m
mp-565363	Nd2Te3MoO12	La2S3TO12	72	1D or 2D	576	36	144	2	Pnma	mmm	TRUE	3.2146	-2.387587174	0	P2_1/m	FALSE	2/m
mp-1119	Nd2Te5	La2S5	14	1D or 2D	112	14	56	2	Cmcm	mmm	TRUE	0.0974	-1.109464174	0	Pmmn	TRUE	mmm
mp-683904	Yb2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	0.1931	-1.931591504	0	P-1	TRUE	-1
mp-555236	Tm2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	2.8874	-2.220364142	0	P-1	TRUE	-1
mp-5572	Ho2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	3.0071	-2.214581117	0	P-1	TRUE	-1
mp-559304	Er2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	3.008	-2.215747117	0	P-1	TRUE	-1
mp-557829	Lu2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	3.0335	-2.220993256	0	P-1	TRUE	-1
mp-555940	Dy2Te5O13	La2S5O13	40	1D or 2D	320	40	160	2	P-1	-1	TRUE	3.0361	-2.212278746	0	P-1	TRUE	-1
mp-573109	Sm2Se5O13	La2S5O13	80	1D or 2D	640	80	320	2	P2_1/c	2/m	FALSE	3.6053	-1.999056424	0	P2_1/c	FALSE	2/m
mp-543029	La2TeI2	La2SF2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.0169	-1.53529729	0	R-3m	TRUE	-3m
mp-676275	Nd2Pb5F16	La2Sn5F16	23	1D or 2D	184	14	56	2	Cm	m	FALSE	4.1182	-2.941536233	0.042622198	Cm	FALSE	m
mp-557438	Sm2Ti3(BiO6)2	La2T3(AsO6)2	19	1D or 2D	152	15	60	2	C2/m	2/m	TRUE	1.8995	-3.138722067	0.039655314	C2/m	TRUE	2/m
mp-574262	Ce4C2Br5	La4C2F5	11	1D or 2D	88	11	44	2	P-1	-1	TRUE	0.0005	-1.275835134	0	P-1	TRUE	-1
mp-569873	La4C2Br5	La4C2F5	11	1D or 2D	88	11	44	2	P-1	-1	TRUE	0.0014	-1.476606686	0	P-1	TRUE	-1
mp-569637	La4C2Cl5	La4C2F5	11	1D or 2D	88	11	44	2	P-1	-1	TRUE	0.0059	-1.964126914	0	P-1	TRUE	-1
mp-570498	Pr4C2Cl5	La4C2F5	11	1D or 2D	88	11	44	2	C2/m	2/m	TRUE	0.0073	-1.850296762	0	P2/m	TRUE	2/m
mp-29070	La5C2Br9	La5C2F9	64	1D or 2D	512	32	128	2	Pnma	mmm	TRUE	1.7524	-1.693330134	0	P2_1/m	FALSE	2/m
mp-31007	Tb5Br8	La5F8	13	1D or 2D	104	13	52	2	C2/m	2/m	TRUE	0	-1.508096064	0.01983598	P2/m	TRUE	2/m
mp-571258	Er6I7	La6F7	13	1D or 2D	104	13	52	2	C2/m	2/m	TRUE	0	-0.904119156	0.062160016	C2/m	TRUE	2/m
mp-680417	CeSb(SBr)2	LaAs(SF)2	48	1D or 2D	384	24	96	2	P2_1/c	2/m	FALSE	0.0237	-1.197639944	0.007957706	P2_1	FALSE	2
mp-680334	LaSb(SBr)2	LaAs(SF)2	48	1D or 2D	384	24	96	2	P2_1/c	2/m	FALSE	2.1022	-1.325555193	0	P2_1	FALSE	2
mp-610469	CeBiS2O	LaAsS2O	10	1D or 2D	80	10	40	2	P4mm	4mm	FALSE	0.0028	-1.834058072	0.040514986	P4mm	FALSE	4mm
mp-756578	LaMgI5	LaBeF5	14	1D or 2D	112	14	56	2	Cmcm	mmm	TRUE	1.9695	-1.329622162	0.014744466	Pmma	TRUE	mmm
mp-643756	EuMgH4	LaBeH4	12	1D or 2D	96	12	48	2	Cmc2_1	mm2	FALSE	0.2601	-0.482797778	0	Pmn2_1	FALSE	mm2
mp-567572	GdCBr	LaCF	6	1D or 2D	48	6	24	2	C2/m	2/m	TRUE	0	-1.088589115	5.81E-05	C2/m	TRUE	2/m
mp-29535	CeSiI	LaCF	6	1D or 2D	48	6	24	2	P-3m1	-3m	TRUE	0	-1.036968213	0	P-3m1	TRUE	-3m
mp-28755	GdCBr	LaCF	6	1D or 2D	48	6	24	2	C2/m	2/m	TRUE	0.007	-1.088647224	0	C2/m	TRUE	2/m
mp-568574	LaGeI	LaCF	6	1D or 2D	48	6	24	2	P-3m1	-3m	TRUE	0.1461	-1.144770345	0	P-3m1	TRUE	-3m
mp-651900	CeSiP3	LaCN3	40	1D or 2D	320	20	80	2	P1	1	FALSE	0.0023	-0.701966864	0	P1	FALSE	1
mp-27924	TbBr	LaF	4	1D or 2D	32	4	16	2	R-3m	-3m	TRUE	0	-1.230598657	0.010846129	R-3m	TRUE	-3m
mp-27679	LaBr	LaF	4	1D or 2D	32	4	16	2	R-3m	-3m	TRUE	0	-1.276717293	0.094979141	R-3m	TRUE	-3m
mp-27923	TbCl	LaF	4	1D or 2D	32	4	16	2	R-3m	-3m	TRUE	0.0206	-1.758363312	0.04885971	R-3m	TRUE	-3m
mp-568342	TbCl	LaF	4	1D or 2D	32	4	16	2	R-3m	-3m	TRUE	0.0388	-1.757209355	0.050013668	R-3m	TRUE	-3m
mp-29671	TmI2	LaF2	3	1D or 2D	24	3	12	2	P-3m1	-3m	TRUE	0	-1.143741563	0.046895817	P-3m1	TRUE	-3m
mp-28753	NdI2	LaF2	3	1D or 2D	24	3	12	2	I4/mmm	4/mmm	TRUE	0.3183	-1.310785163	0	P4/mmm	TRUE	4/mmm
mp-23194	LaI2	LaF2	3	1D or 2D	24	3	12	2	I4/mmm	4/mmm	TRUE	0.3338	-1.433969341	0	P4/mmm	TRUE	4/mmm
mp-28572	LaBr2	LaF2	6	1D or 2D	48	3	12	2	P6_3/mmc	6/mmm	TRUE	0.5868	-1.826006439	0.002922139	P-6m2	FALSE	-6m2
mp-570418	YbI2	LaF2	3	1D or 2D	24	3	12	2	P-3m1	-3m	TRUE	4.007	-1.669449712	0	P-3m1	TRUE	-3m
mp-27979	LaI3	LaF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	2.0643	-1.55281251	0	Pmmn	TRUE	mmm
mp-27182	GdBr3	LaF3	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	2.1414	-1.921087568	0	C2/m	TRUE	2/m
mp-27975	NdBr3	LaF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	2.9211	-1.917113109	0	Pmmn	TRUE	mmm
mp-27976	SmBr3	LaF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	2.9285	-1.902408579	0	Pmmn	TRUE	mmm
mp-23293	TbCl3	LaF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	3.7957	-2.707034274	0.00380026	Pmmn	TRUE	mmm
mp-28448	DyCl3	LaF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	3.8943	-2.698558945	0	Pmmn	TRUE	mmm
mp-600622	EuIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-2.361521933	0	P4/nmm	TRUE	4/mmm
mp-754112	CeBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0.0013	-3.050250873	0	P4/nmm	TRUE	4/mmm
mp-755464	CeBrO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	0.0116	-3.028700121	0.021550752	R-3m	TRUE	-3m
mp-504727	EuBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0.026	-2.54333185	0	P4/nmm	TRUE	4/mmm
mp-754960	SmIO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	2.1787	-2.867064233	0.076443073	R-3m	TRUE	-3m
mp-753163	HoIO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	2.2234	-2.9132463	0.069002868	R-3m	TRUE	-3m
mp-29797	GdBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	2.8895	-3.137754755	0	P4/nmm	TRUE	4/mmm
mp-30993	LaIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.2887	-3.056768422	0	P4/nmm	TRUE	4/mmm
mp-27439	TmIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.3943	-2.985688435	0	P4/nmm	TRUE	4/mmm
mp-753173	HoIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.4575	-2.982249168	0	P4/nmm	TRUE	4/mmm
mp-756702	PrBrO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	3.5244	-3.062546695	0	R-3m	TRUE	-3m
mp-754217	SmIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.5519	-2.943507306	0	P4/nmm	TRUE	4/mmm
mp-755336	NdIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.5759	-2.922945631	0	P4/nmm	TRUE	4/mmm
mp-755565	HoBrO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	3.6527	-3.189036851	0	R-3m	TRUE	-3m
mp-29254	PrIO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.6584	-2.909880011	0	P4/nmm	TRUE	4/mmm
mp-23023	LaBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.7256	-3.249698995	0	P4/nmm	TRUE	4/mmm
mp-754969	TmBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	4.3469	-3.194585336	0	P4/nmm	TRUE	4/mmm
mp-752637	HoBrO	LaFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	4.3862	-3.15966143	0.029375422	Pmmn	TRUE	mmm
mp-754526	TmBrO	LaFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	4.427	-3.185222361	0.009362975	Pmmn	TRUE	mmm
mp-23068	NdBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	4.4819	-3.118431618	0	P4/nmm	TRUE	4/mmm
mp-29327	SmBrO	LaFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	4.5207	-3.144032881	0	P4/nmm	TRUE	4/mmm
mp-772295	TmClO	LaFO	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	4.5259	-3.584971138	0	R-3m	TRUE	-3m
mp-755689	ErClO	LaFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	5.2496	-3.531467915	0	Pmmn	TRUE	mmm
mp-754113	TmClO	LaFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	5.2921	-3.54993768	0.035033458	Pmmn	TRUE	mmm
mp-733581	PrH(SeO3)2	LaH(SO3)2	80	1D or 2D	640	40	160	2	Pca2_1	mm2	FALSE	3.5309	-2.008386909	0	Pc	FALSE	m
mp-781997	SmH10S3N3O11	LaH10S3N3O11	56	1D or 2D	448	56	224	2	P-1	-1	TRUE	5.4745	-1.52298064	0.000357574	P-1	TRUE	-1
mp-642807	TbH2Br	LaH2F	8	1D or 2D	64	8	32	2	R-3m	-3m	TRUE	1.6982	-1.15878499	0	R-3m	TRUE	-3m
mp-757145	SmH2ClO2	LaH2FO2	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	4.7224	-2.46492269	0	P2_1/m	FALSE	2/m
mp-24640	ErH3(SO4)3	LaH3(SO4)3	152	1D or 2D	1216	76	304	2	Pbca	mmm	TRUE	5.4943	-2.078615223	0.003965074	Pca2_1	FALSE	mm2
mp-698317	NdH4C3O8	LaH4C3O8	128	1D or 2D	1024	64	256	2	P2_12_12_1	222	FALSE	3.2944	-1.889099644	0	P2_1	FALSE	2
mp-559733	GdH7C2SO8	LaH7C2SO8	38	1D or 2D	304	38	152	2	P-1	-1	TRUE	2.8774	-1.681157233	0.031939975	P-1	TRUE	-1
mp-782002	SmH8S3N3O10	LaH8S3N3O10	50	1D or 2D	400	50	200	2	P-1	-1	TRUE	5.3137	-1.535659059	0	P-1	TRUE	-1
mp-24051	ErHCl	LaHF	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	0	-1.654666627	0	R-3m	TRUE	-3m
mp-23896	LuHCl	LaHF	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	0	-1.624995451	0	R-3m	TRUE	-3m
mp-696944	LaHBr2	LaHF2	8	1D or 2D	64	4	16	2	Cmcm	mmm	TRUE	3.5974	-1.665312417	0	P-6m2	FALSE	-6m2
mp-504474	TbHO2	LaHO2	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	4.7376	-2.965641456	0.057916065	P2_1/m	FALSE	2/m
mp-505610	CeP3H8O7	LaN3H8O7	38	1D or 2D	304	38	152	2	P-1	-1	TRUE	0.1741	-1.695039894	0.039504215	P-1	TRUE	-1
mp-697701	LaP3H8O7	LaN3H8O7	38	1D or 2D	304	38	152	2	P-1	-1	TRUE	4.8244	-1.732941897	0.038363073	P-1	TRUE	-1
mp-571006	YbP5	LaN5	24	1D or 2D	192	24	96	2	P2_1	2	FALSE	0.4205	-0.399331829	0	P2_1	FALSE	2
mp-30287	LuPS4	LaNS4	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	2.2473	-1.017377823	0	P2_1/c	FALSE	2/m
mp-684706	LaO3	LaO3	8	1D or 2D	64	8	32	2	P1	1	FALSE	0.0326	-2.347514768	0.086614915	P1	FALSE	1
mp-754149	GdOF	LaOF	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	3.2028	-3.95954654	0.081259295	P4/nmm	TRUE	4/mmm
mp-30125	PrTe2Se	LaS2S	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0	-1.154223346	0	Pmmn	TRUE	mmm
