mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-34202	Bi2Te3	As2S3	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.4157	-0.237341834	0	R-3m	TRUE	-3m
mp-541837	Bi2Se3	As2S3	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.4946	-0.390515243	0	R-3m	TRUE	-3m
mp-23164	Bi2Se3	As2S3	20	1D or 2D	160	10	40	2	Pnma	mmm	TRUE	0.9558	-0.364654861	0.025860383	P2_1/m	FALSE	2/m
mp-909	As2Se3	As2S3	20	1D or 2D	160	10	40	2	P2_1/c	2/m	FALSE	1.4598	-0.114650898	0	Pc	FALSE	m
mp-641	As2S3	As2S3	20	1D or 2D	160	10	40	2	P2_1/c	2/m	FALSE	2.0878	-0.128789397	0	Pc	FALSE	m
mp-31507	Sb2Te4Pb	As2S4Sn	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.3195	-0.201075031	0.009576594	R-3m	TRUE	-3m
mp-676250	Bi2Te4Pb	As2S4Sn	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.4903	-0.286365347	0.00144209	R-3m	TRUE	-3m
mp-569044	Bi2Te5Pb2	As2S5Sn2	9	1D or 2D	72	5	20	2	P-3m1	-3m	TRUE	0.1855	-0.257856333	0.05798755	P-3m1	TRUE	-3m
mp-23435	Bi2TeI	As2SF	8	1D or 2D	64	3	12	2	P-1	-1	TRUE	0.2659	-0.258163517	0.023011103	P1	FALSE	1
mp-570930	Bi2Pb2Se5	As2Sn2S5	9	1D or 2D	72	9	36	2	P-3m1	-3m	TRUE	0.4253	-0.463546649	0.006523414	P-3m1	TRUE	-3m
mp-505368	As2Pb3O8	As2Sn3O8	26	1D or 2D	208	26	104	2	P2_1/c	2/m	FALSE	3.3525	-1.752657722	0	P2_1/c	FALSE	2/m
mp-31107	As2Pb8O13	As2Sn8O13	46	1D or 2D	368	46	184	2	C2/m	2/m	TRUE	2.4139	-1.654189933	0	C2/m	TRUE	2/m
mp-675543	Bi2PbSe4	As2SnS4	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.491	-0.440844689	0.000812939	R-3m	TRUE	-3m
mp-23334	Bi2TeO5	As2SO5	32	1D or 2D	256	32	128	2	Aem2	mm2	FALSE	2.4243	-1.661596752	0	Aem2	FALSE	mm2
mp-29839	Bi2SeO5	As2SO5	32	1D or 2D	256	32	128	2	Aem2	mm2	FALSE	2.8422	-1.596670876	0	Aem2	FALSE	mm2
mp-27230	As2SO6	As2SO6	18	1D or 2D	144	18	72	2	P2_12_12	222	FALSE	4.4079	-1.701606978	0	P2_12_12	FALSE	222
mp-8612	Sb2TeSe2	As2SS2	5	1D or 2D	40	5	20	2	R3m	3m	FALSE	0.4865	-0.224743263	0.000810142	R3m	FALSE	3m
mp-571550	Sb2TeSe2	As2SS2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.5453	-0.188576533	0.036976872	R-3m	TRUE	-3m
mp-31406	Bi2TeSe2	As2SS2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.9267	-0.310734833	0.037054792	R-3m	TRUE	-3m
mp-570197	Bi2Pd	As2T	3	1D or 2D	24	3	12	2	I4/mmm	4/mmm	TRUE	0	-0.219799203	0.026941388	P4/mmm	TRUE	4/mmm
mp-569581	Bi2Pt	As2T	9	1D or 2D	72	9	36	2	P-3	-3	TRUE	0	-0.21708623	0.029749805	P-3m1	TRUE	-3m
mp-27404	As3(HO2)5	As3(HO2)5	18	1D or 2D	144	18	72	2	P-1	-1	TRUE	3.0438	-1.512346197	0	P-1	TRUE	-1
mp-23549	Bi3B5O12	As3B5O12	80	1D or 2D	640	40	160	2	Pnma	mmm	TRUE	3.283	-2.451645202	0	P2_1/m	FALSE	2/m
mp-626378	As3HO6	As3HO6	40	1D or 2D	320	20	80	2	P2_1/c	2/m	FALSE	3.5542	-1.607394807	0	P2_1	FALSE	2
mp-759405	Bi3O2F5	As3O2F5	40	1D or 2D	320	20	80	2	Pnma	mmm	TRUE	3.285	-2.237262913	0	Pmc2_1	FALSE	mm2
mp-541240	Sb3O2F5	As3O2F5	40	1D or 2D	320	40	160	2	P2/c	2/m	TRUE	3.7777	-2.190608753	0	P2/c	TRUE	2/m
mp-542615	Bi3Se4	As3S4	7	1D or 2D	56	3	12	2	R-3m	-3m	TRUE	0.0879	-0.323786169	0.04813311	R-3m	TRUE	-3m
